parent_title,parent_time,parent_location,parent_tags,parent_url,title,time,location,url
LLMs,11:00 – 13:00,116,RESEARCH ORAL PRESENTATIONS,https://whova.com/embedded/session/avBTMdVt9LpKU8wGBhyS7P0tL-aSotzP6HuqmCh%40ZhY%3D/3968741/?widget=primary,On Early Detection of Hallucinations in Factual Question Answering,11:00 – 11:15,116,https://whova.com/embedded/session/avBTMdVt9LpKU8wGBhyS7P0tL-aSotzP6HuqmCh%40ZhY%3D/4020141/?widget=primary
LLMs,11:00 – 13:00,116,RESEARCH ORAL PRESENTATIONS,https://whova.com/embedded/session/avBTMdVt9LpKU8wGBhyS7P0tL-aSotzP6HuqmCh%40ZhY%3D/3968741/?widget=primary,A Hierarchical Context Augmentation Method to Improve Retrieval-Augmented LLMs on Scientific Papers,11:15 – 11:30,116,https://whova.com/embedded/session/avBTMdVt9LpKU8wGBhyS7P0tL-aSotzP6HuqmCh%40ZhY%3D/4020142/?widget=primary
LLMs,11:00 – 13:00,116,RESEARCH ORAL PRESENTATIONS,https://whova.com/embedded/session/avBTMdVt9LpKU8wGBhyS7P0tL-aSotzP6HuqmCh%40ZhY%3D/3968741/?widget=primary,LogParser-LLM: Advancing Efficient Log Parsing with Large Language Models,11:30 – 11:45,116,https://whova.com/embedded/session/avBTMdVt9LpKU8wGBhyS7P0tL-aSotzP6HuqmCh%40ZhY%3D/4020143/?widget=primary
LLMs,11:00 – 13:00,116,RESEARCH ORAL PRESENTATIONS,https://whova.com/embedded/session/avBTMdVt9LpKU8wGBhyS7P0tL-aSotzP6HuqmCh%40ZhY%3D/3968741/?widget=primary,Efficient Mixture of Experts based on Large Language Models for Low-Resource Data Preprocessing,11:45 – 12:00,116,https://whova.com/embedded/session/avBTMdVt9LpKU8wGBhyS7P0tL-aSotzP6HuqmCh%40ZhY%3D/4020144/?widget=primary
LLMs,11:00 – 13:00,116,RESEARCH ORAL PRESENTATIONS,https://whova.com/embedded/session/avBTMdVt9LpKU8wGBhyS7P0tL-aSotzP6HuqmCh%40ZhY%3D/3968741/?widget=primary,Prompt Perturbation in Retrieval-Augmented Generation based Large Language Models,12:00 – 12:15,116,https://whova.com/embedded/session/avBTMdVt9LpKU8wGBhyS7P0tL-aSotzP6HuqmCh%40ZhY%3D/4020145/?widget=primary
LLMs,11:00 – 13:00,116,RESEARCH ORAL PRESENTATIONS,https://whova.com/embedded/session/avBTMdVt9LpKU8wGBhyS7P0tL-aSotzP6HuqmCh%40ZhY%3D/3968741/?widget=primary,Large Language Model-driven Meta-structure Discovery in Heterogeneous Information Network,12:15 – 12:30,116,https://whova.com/embedded/session/avBTMdVt9LpKU8wGBhyS7P0tL-aSotzP6HuqmCh%40ZhY%3D/4020146/?widget=primary
LLMs,11:00 – 13:00,116,RESEARCH ORAL PRESENTATIONS,https://whova.com/embedded/session/avBTMdVt9LpKU8wGBhyS7P0tL-aSotzP6HuqmCh%40ZhY%3D/3968741/?widget=primary,From Supervised to Generative: A Novel Paradigm for Tabular Deep Learning with Large Language Models,12:30 – 12:45,116,https://whova.com/embedded/session/avBTMdVt9LpKU8wGBhyS7P0tL-aSotzP6HuqmCh%40ZhY%3D/4020147/?widget=primary
LLMs,11:00 – 13:00,116,RESEARCH ORAL PRESENTATIONS,https://whova.com/embedded/session/avBTMdVt9LpKU8wGBhyS7P0tL-aSotzP6HuqmCh%40ZhY%3D/3968741/?widget=primary,Enhancing On-Device LLM Inference with Historical Cloud-Based LLM Interactions,12:45 – 13:00,116,https://whova.com/embedded/session/avBTMdVt9LpKU8wGBhyS7P0tL-aSotzP6HuqmCh%40ZhY%3D/4020148/?widget=primary
Industrial / Manufacturing Applications,11:00 – 13:00,119,ADS ORAL PRESENTATIONS,https://whova.com/embedded/session/avBTMdVt9LpKU8wGBhyS7P0tL-aSotzP6HuqmCh%40ZhY%3D/3968745/?widget=primary,Personalized Product Assortment with Real-time 3D Perception and Bayesian Payoff Estimation,11:00 – 11:15,119,https://whova.com/embedded/session/avBTMdVt9LpKU8wGBhyS7P0tL-aSotzP6HuqmCh%40ZhY%3D/4020149/?widget=primary
Industrial / Manufacturing Applications,11:00 – 13:00,119,ADS ORAL PRESENTATIONS,https://whova.com/embedded/session/avBTMdVt9LpKU8wGBhyS7P0tL-aSotzP6HuqmCh%40ZhY%3D/3968745/?widget=primary,Pre-trained KPI Anomaly Detection Model Based on Disentangled Transformer,11:15 – 11:30,119,https://whova.com/embedded/session/avBTMdVt9LpKU8wGBhyS7P0tL-aSotzP6HuqmCh%40ZhY%3D/4020150/?widget=primary
Industrial / Manufacturing Applications,11:00 – 13:00,119,ADS ORAL PRESENTATIONS,https://whova.com/embedded/session/avBTMdVt9LpKU8wGBhyS7P0tL-aSotzP6HuqmCh%40ZhY%3D/3968745/?widget=primary,Hierarchical Knowledge Guided Fault Intensity Diagnosis of Complex Industrial Systems,11:30 – 11:45,119,https://whova.com/embedded/session/avBTMdVt9LpKU8wGBhyS7P0tL-aSotzP6HuqmCh%40ZhY%3D/4020151/?widget=primary
Industrial / Manufacturing Applications,11:00 – 13:00,119,ADS ORAL PRESENTATIONS,https://whova.com/embedded/session/avBTMdVt9LpKU8wGBhyS7P0tL-aSotzP6HuqmCh%40ZhY%3D/3968745/?widget=primary,PAIL: Performance based Adversarial Imitation Learning Engine for Carbon Neutral Optimization,11:45 – 12:00,119,https://whova.com/embedded/session/avBTMdVt9LpKU8wGBhyS7P0tL-aSotzP6HuqmCh%40ZhY%3D/4020152/?widget=primary
