title,time,location,tags,url
KDD 2025 Registration,7:00 am – 5:00 pm,600 Registration Area,REGISTRATION,
The 11th Mining and Learning from Time Series (MILETS): From Classical Methods to LLMs,8:00 am – 12:00 pm,601,WORKSHOPS,https://kdd-milets.github.io/milets2025/
AI for Supply Chain: Today and Future,8:00 am – 12:00 pm,602,WORKSHOPS,https://sites.google.com/view/ai4supplychain-kdd-2025/home
The 4th Workshop on Ethical Artificial Intelligence: Methods and Applications (EAI),8:00 am – 12:00 pm,603,WORKSHOPS,https://meviuslab.github.io/EAI2025/
AI4DE: The 1st International Workshop on AI for Data Editing,8:00 am – 12:00 pm,604,WORKSHOPS,https://ai-for-data-editing.github.io/KDD25-workshop/
PharmKDD: Knowledge Discovery and Data Mining for Pharmaceutical Research and Development,8:00 am – 12:00 pm,703,WORKSHOPS,https://wcm-wanglab.github.io/workshops/PharmKDD2025/homepage.html
The 4th Workshop on AI Agent for Information Retrieval: Generating and Ranking,8:00 am – 12:00 pm,705,WORKSHOPS,https://sites.google.com/view/ai4ir/kdd-2025
MEDS: Building Models and Tools in a Reproducible Health AI Ecosystem,8:00 am – 11:00 am,707,HANDS-ON TUTORIALS,https://medical-event-data-standard.github.io/
"Deep Learning in the Frequency Domain: Advances, Challenges, and Applications for Time Series Analysis",8:00 am – 11:00 am,712,LECTURE STYLE TUTORIALS,https://hh4ts.github.io/Deep_Learning_in_Frequency_Domain_Tutorial/
"A Tutorial on Small Language Models in the Era of Large Language Models: Architecture, Capabilities, and Trustworthiness",8:00 am – 11:00 am,713 A,LECTURE STYLE TUTORIALS,https://fairyfali.github.io/kdd2025-tutorial/
Advances in Time-Series Anomaly Detection,8:00 am – 11:00 am,713 B,LECTURE STYLE TUTORIALS,https://thedatumorg.github.io/TSAD-Tutorial/
"Large Language Model Enhanced Recommender Systems: Methods, Applications and Trends",8:00 am – 11:00 am,714 A,LECTURE STYLE TUTORIALS,https://applied-machine-learning-lab.github.io/KDD25-Tutorial-LLM-Enhanced-RecSys/about
"Graph Foundation Models: Challenges, Methods, and Open Questions",8:00 am – 11:00 am,714 B,LECTURE STYLE TUTORIALS,https://sites.google.com/view/kdd25-gfm-tutorial
Uncertainty Quantification and Confidence Calibration in Large Language Models: A Survey,8:00 am – 11:00 am,716 A,LECTURE STYLE TUTORIALS,https://xiao0o0o.github.io/2025KDD_tutorial/
Coffee Break,9:30 am – 10:00 am,,NETWORKING,
Lunch Break (Lunch on Own),12:00 pm – 1:00 pm,,NETWORKING,
KDD 2025 Workshop on Inference Optimization for Generative AI,1:00 pm – 5:00 pm,601,WORKSHOPS,https://magic-town-d89.notion.site/KDD-2025-Workshop-on-Inference-Optimization-for-Generative-AI-1c8120fc782780b48f7efc32d6de368a
International Workshop on Online and Adaptive Recommender Systems (OARS 2025),1:00 pm – 5:00 pm,602,WORKSHOPS,https://oars-workshop.github.io/
4th Workshop on Uncertainty Reasoning and Quantification in Decision Making (UDM),1:00 pm – 5:00 pm,603,WORKSHOPS,https://meviuslab.github.io/UDM2025/
The 6th International Workshop on Talent and Management Computing (TMC’2025),1:00 pm – 5:00 pm,604,WORKSHOPS,https://tmcworkshop.github.io/2025/
24th International Workshop on Data Mining in Bioinformatics (BIOKDD 2025),1:00 pm – 5:00 pm,703,WORKSHOPS,https://biokdd.org/biokdd25/
The 14th International Workshop on Urban Computing,1:00 pm – 5:00 pm,705,WORKSHOPS,https://urbcomp25.netlify.app/
